Order ID,Order Date,Customer ID,Type,SKU,Category,Product Name,Unit Price,Qty,Total,Discount Code,Disc %,Payment,Source,City,State,Warehouse,Del Date,Status,Return?,Reason,Ret Rec,Refund,Expected Total,Delivery Days,Order week
UT-100001,01-10-2024,CUST_10001,New,TOP-CAS-M,Tops,Classic Cotton Tee,1299,2,2598,,0,UPI,Website,Mumbai,Maharashtra,Mumbai,05-10-2024,Delivered,No,,,Not Applicable,2598,4,30-09-2024
UT-100002,01-10-2024,CUST_10002,Returning,DRS-FRM-S,Dresses,Floral Midi Dress,2499,1,2499,DIWALI20,20,Credit Card,Mobile App,Delhi,Delhi,Delhi,04-10-2024,Delivered,Yes,Size Issue,15-10-2024,Processed,2499,3,30-09-2024
UT-100003,10-01-2024,CUST_10003,New,BOT-JNS-L,Bottoms,Slim Fit Jeans,1899,1,1899,,0,COD,Website,Bangalore,Karnataka,Bangalore,06-10-2024,Delivered,No,,,Not Applicable,1899,,08-01-2024
UT-100004,01-10-2024,CUST_10004,New,OUT-JKT-XL,Outerwear,Denim Jacket,3499,1,3499,FIRST15,15,Debit Card,Instagram Shop,Chennai,Tamil Nadu,Mumbai,08-10-2024,Delivered,Yes,Quality Defect,20-10-2024,Processed,3499,7,30-09-2024
UT-100005,01-10-2024,CUST_10001,New,ACC-SCF-OS,Accessories,Silk Scarf,799,3,2397,,0,UPI,Website,Mumbai,Maharashtra,Mumbai,06-10-2024,Delivered,No,,,Not Applicable,2397,5,30-09-2024
UT-100006,02-10-2024,CUST_10005,Returning,TOP-FRM-S,Tops,Printed Blouse,1599,2,3198,,0,Credit Card,Mobile App,Hyderabad,Telangana,Bangalore,07-10-2024,Delivered,Yes,Changed Mind,18-10-2024,Processed,3198,5,30-09-2024
UT-100007,02-10-2024,CUST_10006,New,DRS-CAS-M,Dresses,A-Line Dress,2199,1,2199,DIWALI20,20,COD,Website,Pune,Maharashtra,Mumbai,,Cancelled,No,,,Not Applicable,2199,-45567,30-09-2024
UT-100008,02-10-2024,CUST_10007,New,BOT-TRS-L,Bottoms,Formal Trousers,2299,1,2299,,0,UPI,Mobile App,Kolkata,West Bengal,Delhi,10-10-2024,Delivered,No,,,Not Applicable,2299,8,30-09-2024
UT-100009,02-10-2024,CUST_10008,Returning,TOP-CAS-XL,Tops,Oversized Tee,1399,5,6995,,0,Credit Card,Website,Ahmedabad,Gujarat,Mumbai,09-10-2024,Delivered,Yes,Size Issue,22-10-2024,Processed,6995,7,30-09-2024
UT-100010,02-10-2024,CUST_10009,New,OUT-BLZ-M,Outerwear,Casual Blazer,4999,-1,4999,,0,Debit Card,Instagram Shop,Jaipur,Rajasthan,Delhi,11-10-2024,Delivered,Yes,Wrong Item,25-10-2024,Pending,-4999,9,30-09-2024
UT-100011,03-10-2024,CUST_10010,New,ACC-BAG-OS,Accessories,Tote Bag,1299,2,2598,FLAT10,10,Wallet,Website,Lucknow,Uttar Pradesh,Delhi,10-10-2024,Delivered,No,,,Not Applicable,2598,7,30-09-2024
UT-100012,03-10-2024,CUST_10011,New,DRS-PRT-S,Dresses,Party Dress,3299,1,3299,,0,COD,Mobile App,Chandigarh,Punjab,Delhi,,RTO,No,,,Not Applicable,3299,-45568,30-09-2024
UT-100013,03-10-2024,CUST_10012,Returning,TOP-SLK-M,Tops,Silk Blouse,2499,1,2499,,0,Credit Card,Website,Mumbai,Maharashtra,Mumbai,09-10-2024,Delivered,No,,,Not Applicable,2499,6,30-09-2024
UT-100014,03-10-2024,CUST_10013,New,BOT-SKT-S,Bottoms,Pleated Skirt,1799,2,3598,DIWALI20,20,UPI,Instagram Shop,Delhi,Delhi,Delhi,11-10-2024,Delivered,Yes,Size Issue,28-10-2024,Processed,3598,8,30-09-2024
UT-100015,03-10-2024,CUST_10014,New,OUT-CRD-L,Outerwear,Knit Cardigan,2799,1,2799,,0,Debit Card,Mobile App,Bangalore,Karnataka,Bangalore,12-10-2024,Delivered,No,,,Not Applicable,2799,9,30-09-2024
UT-100016,04-10-2024,CUST_10015,Returning,ACC-JWL-OS,Accessories,Statement Earrings,599,4,2396,,0,COD,Website,Noida,Uttar Pradesh,Delhi,14-10-2024,Delivered,Yes,Damaged in Transit,26-10-2024,Processed,2396,10,30-09-2024
UT-100017,04-10-2024,CUST_10016,New,TOP-CRP-XS,Tops,Crop Top,999,1,999,FIRST15,15,UPI,Mobile App,Gurgaon,Haryana,Delhi,12-10-2024,Delivered,No,,,Not Applicable,999,8,30-09-2024
UT-100018,04-10-2024,CUST_10017,New,DRS-MAX-M,Dresses,Maxi Dress,2899,1,2899,,0,Credit Card,Website,Indore,Madhya Pradesh,Mumbai,14-10-2024,Delivered,No,,,Not Applicable,2899,10,30-09-2024
UT-100019,04-10-2024,CUST_10018,Returning,BOT-JGR-M,Bottoms,Joggers,1499,2,2998,,0,Wallet,Instagram Shop,Surat,Gujarat,Mumbai,13-10-2024,Delivered,Yes,Size Issue,30-10-2024,Processed,2998,9,30-09-2024
UT-100020,05-10-2024,CUST_10019,New,OUT-VST-S,Outerwear,Puffer Vest,3999,1,3999,DIWALI20,20,COD,Website,Patna,Bihar,Delhi,,RTO,No,,,Not Applicable,3999,-45570,30-09-2024
UT-100021,05-10-2024,CUST_10020,New,TOP-TUN-L,Tops,Tunic Top,1699,1,1699,,0,UPI,Mobile App,Bhopal,Madhya Pradesh,Mumbai,15-10-2024,Delivered,No,,,Not Applicable,1699,10,30-09-2024
UT-100022,05-10-2024,CUST_10021,Returning,DRS-SHT-XS,Dresses,Shirt Dress,2399,1,2399,,0,Credit Card,Website,Nagpur,Maharashtra,Mumbai,16-10-2024,Delivered,Yes,Quality Defect,02-11-2024,Processed,2399,11,30-09-2024
UT-100023,05-10-2024,CUST_10022,New,ACC-BLT-M,Accessories,Leather Belt,899,1,899,FLAT10,10,Debit Card,Mobile App,Coimbatore,Tamil Nadu,Bangalore,17-10-2024,Delivered,No,,,Not Applicable,899,12,30-09-2024
UT-100024,06-10-2024,CUST_10023,New,BOT-SHT-M,Bottoms,Cotton Shorts,1199,3,3597,,0,COD,Instagram Shop,Kochi,Kerala,Bangalore,18-10-2024,Delivered,Yes,Changed Mind,05-11-2024,Processed,3597,12,30-09-2024
UT-100025,06-10-2024,CUST_10024,New,TOP-PLO-L,Tops,Polo Shirt,1799,2,3598,,0,UPI,Website,Vizag,Andhra Pradesh,Bangalore,17-10-2024,Delivered,No,,,Not Applicable,3598,11,30-09-2024
